X78017	1	1516	s93	Acidaminococcus fermentans	type sp.	Acidaminococcaceae	2, ht	http://www.bacterio.net/acidaminococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Acidaminococcales	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus
AF473835	1	1439	s93	Acidaminococcus intestini		Acidaminococcaceae	2	http://www.bacterio.net/acidaminococcus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Acidaminococcales	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus
D85506	1	1462	s93	Acidianus ambivalens		Sulfolobaceae	1	http://www.bacterio.net/acidianus.html	Archaea;Crenarchaeota;Sulfolobales	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus
D26489	301	1792	s93	Acidianus brierleyi		Sulfolobaceae	1	http://www.bacterio.net/acidianus.html	Archaea;Crenarchaeota;Sulfolobales	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus
D85505	1	1463	s93	Acidianus infernus	type sp.	Sulfolobaceae	1	http://www.bacterio.net/acidianus.html	Archaea;Crenarchaeota;Sulfolobales	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus
AY907891	1	1473	s93	Acidianus sulfidivorans		Sulfolobaceae	1	http://www.bacterio.net/acidianus.html	Archaea;Crenarchaeota;Sulfolobales	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus
AY140238	1	1340	s93	Acidicaldus organivorans	type sp.	Acetobacteraceae	1	http://www.bacterio.net/acidicaldus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidicaldus
FR774763	1	1411	s111	Acidicapsa borealis	type sp.	Acidobacteriaceae		http://www.bacterio.net/acidicapsa.html	Bacteria;Acidobacteria;Acidobacteriales	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidicapsa
EU780204	1	1401	s111	Acidicapsa ligni		Acidobacteriaceae		http://www.bacterio.net/acidicapsa.html	Bacteria;Acidobacteria;Acidobacteriales	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidicapsa
AF387301	1	1475	s108	Acidiferrobacter thiooxydans	type sp.	Acidiferrobacteraceae		http://www.bacterio.net/acidiferrobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Acidiferrobacterales	Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Acidiferrobacter
JQSG01000009	6763	8286	s128	Acidihalobacter prosperus	type sp.	Ectothiorhodospiraceae		http://www.bacterio.net/acidihalobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter
AF191225	1	1411	s93	Acidilobus aceticus	type sp.	Acidilobaceae	1	http://www.bacterio.net/acidilobus.html	Archaea;Crenarchaeota;Acidilobales;Acidilobaceae	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus
AY350586	1	1451	s102	Acidilobus saccharovorans		Acidilobaceae	1	http://www.bacterio.net/acidilobus.html	Archaea;Crenarchaeota;Acidilobales;Acidilobaceae	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus
U75647	1	1465	s93	Acidimicrobium ferrooxidans	type sp.	Acidimicrobiaceae	1	http://www.bacterio.net/acidimicrobium.html	Bacteria;Actinobacteria;Acidimicrobiia	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium
D86511	1	1419	s93	Acidiphilium acidophilum		Acetobacteraceae	1	http://www.bacterio.net/acidiphilium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
D30772	1	1413	s93	Acidiphilium angustum		Acetobacteraceae	1	http://www.bacterio.net/acidiphilium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
D30773	1	1413	s93	Acidiphilium cryptum	type sp.	Acetobacteraceae	1	http://www.bacterio.net/acidiphilium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
AB561883	1	1488	s123	Acidiphilium iwatense		Acetobacteraceae		http://www.bacterio.net/acidiphilium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
AB006711	1	1451	s93	Acidiphilium multivorum		Acetobacteraceae	1	http://www.bacterio.net/acidiphilium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
D30775	1	1413	s93	Acidiphilium organovorum		Acetobacteraceae	1	http://www.bacterio.net/acidiphilium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
D30776	1	1413	s93	Acidiphilium rubrum		Acetobacteraceae	1	http://www.bacterio.net/acidiphilium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
KM083127	1	1461	s128	Acidipila dinghuensis		Acidobacteriaceae		http://www.bacterio.net/acidipila.html	Bacteria;Acidobacteria;Acidobacteriales	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidipila
AB561884	1	1461	s128	Acidipila rosea	type sp.	Acidobacteriaceae		http://www.bacterio.net/acidipila.html	Bacteria;Acidobacteria;Acidobacteriales	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidipila
AM943980	1	1341	s102	Acidiplasma aeolicum	type sp.	Ferroplasmaceae		http://www.bacterio.net/acidiplasma.html	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma
AY907888	1	1445	s95	Acidiplasma cupricumulans		Ferroplasmaceae	1	http://www.bacterio.net/acidiplasma.html	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma
AM947653	1	1430	s102	Acidisoma sibiricum		Acetobacteraceae		http://www.bacterio.net/acidisoma.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma
AM947652	1	1400	s102	Acidisoma tundrae	type sp.	Acetobacteraceae		http://www.bacterio.net/acidisoma.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma
D86512	1	1451	s93	Acidisphaera rubrifaciens	type sp.	Acetobacteraceae	1	http://www.bacterio.net/acidisphaera.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera
AB517669	1	1483	s108	Aciditerrimonas ferrireducens	type sp.	Unclassified Acidimicrobiales		http://www.bacterio.net/aciditerrimonas.html	Bacteria;Actinobacteria;Acidimicrobiia	Bacteria;Actinobacteria;Acidimicrobiia;Unclassified Acidimicrobiales;Aciditerrimonas
AJ459804	1	1494	s93	Acidithiobacillus albertensis		Acidithiobacillaceae	1	http://www.bacterio.net/acidithiobacillus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Acidithiobacillia	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
Z29975	1	1460	s93	Acidithiobacillus caldus		Acidithiobacillaceae	1	http://www.bacterio.net/acidithiobacillus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Acidithiobacillia	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
AJ278719	1	1408	s119	Acidithiobacillus ferridurans		Acidithiobacillaceae		http://www.bacterio.net/acidithiobacillus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Acidithiobacillia	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
KR905751	1	1323	s128	Acidithiobacillus ferriphilus		Acidithiobacillaceae		http://www.bacterio.net/acidithiobacillus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Acidithiobacillia	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
AF376020	1	1478	s104	Acidithiobacillus ferrivorans		Acidithiobacillaceae		http://www.bacterio.net/acidithiobacillus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Acidithiobacillia	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
AF465604	1	1461	s93	Acidithiobacillus ferrooxidans		Acidithiobacillaceae	1	http://www.bacterio.net/acidithiobacillus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Acidithiobacillia	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
Y11596	1	1470	s93	Acidithiobacillus thiooxidans	type sp.	Acidithiobacillaceae	1	http://www.bacterio.net/acidithiobacillus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Acidithiobacillia	Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
CP001472	2863353	2864776	s100	Acidobacterium capsulatum	type sp.	Acidobacteriaceae	1	http://www.bacterio.net/acidobacterium.html	Bacteria;Acidobacteria;Acidobacteriales	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium
AB362219	1	1474	s104	Acidocella aluminiidurans		Acetobacteraceae		http://www.bacterio.net/acidocella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella
D30771	1	1406	s93	Acidocella aminolytica		Acetobacteraceae	1	http://www.bacterio.net/acidocella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella
D30774	1	1407	s93	Acidocella facilis	type sp.	Acetobacteraceae	1	http://www.bacterio.net/acidocella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella
X77468	1	1481	s93	Acidomonas methanolica	type sp.	Acetobacteraceae	1	http://www.bacterio.net/acidomonas.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas
CP000481	1397655	1399163	s93	Acidothermus cellulolyticus	type sp.	Acidothermaceae	1	http://www.bacterio.net/acidothermus.html	Bacteria;Actinobacteria;Actinobacteria	Bacteria;Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus
AJ007013	1	1486	s93	Acidovorax anthurii		Comamonadaceae	1, p	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AF137505	1	1481	s93	Acidovorax avenae		Comamonadaceae	1, p	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AM084006	1	1518	s95	Acidovorax caeni		Comamonadaceae	1	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AF137504	1	1481	s93	Acidovorax cattleyae		Comamonadaceae	1, p	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AF137506	1	1481	s93	Acidovorax citrulli		Comamonadaceae	1, p	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
Y18616	1	1526	s93	Acidovorax defluvii		Comamonadaceae	1	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AF078764	1	1515	s93	Acidovorax delafieldii		Comamonadaceae	1, +	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AF078765	1	1511	s93	Acidovorax facilis	type sp.	Comamonadaceae	1	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AJ420325	1	1490	s93	Acidovorax konjaci		Comamonadaceae	1, p	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
DQ360414	1	1462	s100	Acidovorax oryzae		Comamonadaceae		http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
HM027578	1	1492	s108	Acidovorax radicis		Comamonadaceae		http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
FJ599672	1	1433	s104	Acidovorax soli		Comamonadaceae		http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AF078766	1	1512	s93	Acidovorax temperans		Comamonadaceae	1, +	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AJ431731	1	1492	s93	Acidovorax valerianellae		Comamonadaceae	1	http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
JQ946365	1	1502	s115	Acidovorax wautersii		Comamonadaceae		http://www.bacterio.net/acidovorax.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
KR611794	1	1480	s128	Acinetobacter albensis		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
JX402203	1	1497	s121	Acinetobacter apis		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
X81660	1	1459	s93	Acinetobacter baumannii		Moraxellaceae	2	http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
AF509820	1	1325	s93	Acinetobacter baylyi		Moraxellaceae	1	http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
AJ626712	1	1374	s100	Acinetobacter beijerinckii		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
Z93443	1	1418	s104	Acinetobacter bereziniae		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
KF679797	1	1490	s123	Acinetobacter bohemicus		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
JQ771141	1	1498	s115	Acinetobacter boissieri		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
AF509827	1	1325	s93	Acinetobacter bouvetii		Moraxellaceae	1	http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
DQ832256	1	1405	s108	Acinetobacter brisouii		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
AJ888983	1	1516	s93	Acinetobacter calcoaceticus	type sp.	Moraxellaceae	2	http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
KT997472	1	1489	s128	Acinetobacter courvalinii		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
KT997473	1	1490	s128	Acinetobacter dispersus		Moraxellaceae		http://www.bacterio.net/acinetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Moraxellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
